r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2020,0.48,0.0,10.33,USD2010/tCO2,74
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2025,7.24,0.0,20.73,USD2010/tCO2,68
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2030,21.3,1.23,33.01,USD2010/tCO2,74
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2040,75.8,57.1,108.19,USD2010/tCO2,74
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2045,95.39,73.23,145.68,USD2010/tCO2,68
R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2050,112.39,92.51,161.43,USD2010/tCO2,74
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2020,0.0,0.0,0.57,USD2010/tCO2,58
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2025,0.0,0.0,0.89,USD2010/tCO2,53
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2030,0.0,0.0,1.25,USD2010/tCO2,58
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2035,0.0,0.0,1.66,USD2010/tCO2,53
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2040,0.0,0.0,2.11,USD2010/tCO2,58
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2045,0.0,0.0,2.69,USD2010/tCO2,53
R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2050,0.0,0.0,3.18,USD2010/tCO2,58
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2020,0.28,0.0,19.61,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2025,186.41,132.25,238.58,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2030,241.69,182.47,320.88,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2035,339.03,227.05,455.16,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2040,410.28,298.63,617.6,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2045,494.2,352.78,716.45,USD2010/tCO2,60
R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2050,644.35,409.79,850.15,USD2010/tCO2,60
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2020,0.0,0.0,3.32,USD2010/tCO2,86
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2025,53.52,40.81,96.45,USD2010/tCO2,75
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2030,72.87,48.73,108.63,USD2010/tCO2,86
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2035,153.66,89.74,206.26,USD2010/tCO2,75
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2040,172.09,116.42,258.41,USD2010/tCO2,86
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2045,253.87,168.51,351.39,USD2010/tCO2,75
R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2050,285.03,194.45,417.87,USD2010/tCO2,86
R10NORTH_AM,North America,C3,Likely below 2°C,2020,0.0,0.0,19.66,USD2010/tCO2,190
R10NORTH_AM,North America,C3,Likely below 2°C,2025,53.56,38.94,98.16,USD2010/tCO2,167
R10NORTH_AM,North America,C3,Likely below 2°C,2030,79.9,52.11,120.05,USD2010/tCO2,190
R10NORTH_AM,North America,C3,Likely below 2°C,2035,104.42,72.6,166.17,USD2010/tCO2,167
R10NORTH_AM,North America,C3,Likely below 2°C,2040,134.84,98.66,211.54,USD2010/tCO2,190
R10NORTH_AM,North America,C3,Likely below 2°C,2045,178.1,120.71,262.84,USD2010/tCO2,167
R10NORTH_AM,North America,C3,Likely below 2°C,2050,209.45,147.7,301.86,USD2010/tCO2,190
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2020,0.0,0.0,0.0,USD2010/tCO2,74
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2025,32.29,23.59,40.18,USD2010/tCO2,68
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2030,53.39,38.83,97.41,USD2010/tCO2,74
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2040,75.8,57.1,108.19,USD2010/tCO2,74
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2045,95.39,73.23,145.68,USD2010/tCO2,68
R10NORTH_AM,North America,C4,Below 2°C with lower probability,2050,112.38,92.51,161.43,USD2010/tCO2,74
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2020,0.0,0.0,3.32,USD2010/tCO2,55
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2025,0.0,0.0,1.71,USD2010/tCO2,50
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2030,0.0,0.0,4.22,USD2010/tCO2,55
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2035,0.0,0.0,5.0,USD2010/tCO2,50
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2040,0.0,0.0,3.75,USD2010/tCO2,55
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2045,0.0,0.0,5.93,USD2010/tCO2,50
R10NORTH_AM,North America,C7,High-warming weak-policy (reference),2050,0.0,0.0,5.22,USD2010/tCO2,55
R10PAC_OECD,Pacific OECD,C1,"1.5°C, no/limited overshoot",2020,0.28,0.0,0.28,USD2010/tCO2,60
R10PAC_OECD,Pacific OECD,C1,"1.5°C, no/limited overshoot",2025,174.96,121.06,238.58,USD2010/tCO2,60
